title,author,year_pub,provider,region,crop,uri,group
Evaluating Fertilizer Recommendations with Farmers,"Chamberlin, Jordan (CIMMYT) ",2019,CIMMT,Tanzania,maize,hdl:11529/10548230,survey
"Gliricidia impacts on soil fertility, crop yields and nutrition in ZMB",Saito et al,2012,AfricaRice,Benin,Rice,doi:10.7910/DVN/APIRCJ,agronomy
"Combined effects of Stylosanthesguianensisfallow and tillage management on upland rice yield, weeds and soils in southern Benin",Saito et al,2012,AfricaRice,West Africa,Rice,doi:10.7910/DVN/1MFGTJ,agronomy
"The origin, quality and market price of rice in three sub-Saharan African Countries",Saito et al,2010,AfricaRice,West Africa,Rice,doi:10.7910/DVN/GWWBQK,agronomy
Plant characteristics associated with weed competitiveness of rice under upland and lowland conditions in West Africa,International Food Policy Research Institute (IFPRI),2015,IFPRI,Ghana,,doi:10.7910/DVN/QUB9UT,survey
Replication Data for: Diversity of Inland Valleys and Opportunities for Agricultural Development in Sierra Leone,"K. Saito (Africa Rice Center (WARDA), 01 BP 2031, Cotonou, BEN); Azoma (frica Rice Center (WARDA), 01 BP 2031, Cotonou, BEN); M. Sie (Rice Center (WARDA), 01 BP 2031, Cotonou, BEN)",2012,AfricaRice,Benin,,doi:10.7910/DVN/1MFGTJ,variety_trials
Grain Yield Performance of Selected Lowland NERICA and Modern Asian Rice Genotypes in West Africa,"Hagazi, Niguse",2019,ICARDA,Ethiopia,,hdl:20.500.11766.1/FK2/LU99IW,survey
Farmer Profiling Data - Ethiopia,"Roobroeck, Dries",2019,IITA,Uganda,maize;  groundnut ,doi:10.25502/z5dp-be17/d,survey
"Replication Data for: Trade-Offs and Synergies Between Yield, Labor, Profit, and Risk in MWIan Maize-Based Cropping Systems","Lobell, David B.",2019,CIMMYT,Africa,maize,hdl:11529/10548190,maize_trials
Replication Data for: Nonlinear heat effects on African Maize as evidenced by historical yield trials,"Gastelo, Manuel",2021,CIP,Peru,potato,doi:10.21223/BJECYK,pest_disease
Data from: Maize-nutrient response information applied across Sub-Saharan Africa,"Burgos, Gabriela",2019,CIP,Peru,potato,doi:10.21223/P3/LXO6O2,potato_trials
Dataset for: Late blight resistant potato varieties for the tropical highlands and mid-elevation,"Salas, Elisa",2017,CIP,Peru,potato,doi:10.21223/P3/SVHUCG,potato_trials
Adoption of dual-purpose groundnut varieties in Odisha,"Kotu, Bekele (International Institute of Tropical Agriculture (IITA))",2017,IFPRI,Ghana,maize,doi:10.7910/DVN/8UFV7X,agronomy
"Combined effects of Stylosanthesguianensisfallow and tillage management on upland rice yield, weeds and soils in southern Benin","Ramcharan, Amanda",2016,AfricaRice,,,doi:10.7910/DVN/Y7KGDK,soil_samples
A Soil Bulk Density Pedotransfer Function Based on Machine Learning: A Case Study With The Kellogg Soil Survey Laboratory Database,Ng ang a Stanley Karanja Gelaw Fekadu Nguru Wilson Maina Magambo Kanyenji George Girvetz Evan,2019,CIAT - International Center for Tropical Agriculture Dataverse,East Africa,,doi:10.7910/DVN/QTACSN,survey
